seq,1AB,2AB,3AB,4AB,5AB,6AB,7AB
40f949d407d1b3ce3daafff65eed76b4,0,0.06962403,0,0,0,0,0
29d5a1f45c97760080e874715394bcfe,1.058041112,0,0.157977883,0,0,1.837270341,0.182997837
80a71af1012d953166a381de20ac5dd0,0.429262394,0,0.110584518,0,0,0,0
8658443ac48e043652445ada8a1b38e9,0,0,0,0,0,0,0.058226585
09a4ea930ca6f241d4210fb9dc689f2f,0,0.05967774,0,0,0,0,0
9e4993b7e2e6e5d4b584c46aaac0bde5,0,0.0994629,0,0,0,0,0
6868203f42c3571c5d284d6fd8077b84,0.024183797,0,0,0,0,0,0.216270171
66575db7635d648549a9eb5a4eafb710,0,0,0,0,0,0,0.049908501
894d5f2608f2a0e9e3bf2499f1cc6130,0.07859734,0.417744181,0,0,0,0,0.798536017
18c8a1caa02afa9f20b6974f6da7568c,0,0,0,0,0,0,0.124771253
76861e4fd720b21d96693697fa6b48fc,0,0,0,0,0,0,0.024954251
1c259c84edfd90c28f17c1875a7c9747,0,0.12930177,0,0,0,0,0
5a66f8310ec63f2648ee84a8f03ed1d7,0,0.477421922,0,0,0,0,0
53b91ed8941d63dc6bdcf622f25e3b10,0,0.149194351,0,0,0,0,0
fdbf76a389e7e1045f64dcd50696b8e7,0,0,0,0,0,0,0.091498919
9e34be9ba45cfc26dc3b1f8a29025ac2,0,0.05967774,0,0,0,0,0
95efcfc5bf54e543b76173209e6ecfd9,0,0,0,0,0,0,0.133089336
85217fd04e507a6c09341cfad7c30c93,0,0.08951661,0,0,0,0,0
1f35c846f62c214ae4a0967923bbadbc,0,0.07957032,0,0,0,0,0
92c7d2d035c344ba43e756fcc909c99f,0,0.0994629,0,0,0,0,0
878e92b4ed5d195510b93ad6c1c83103,0,0.05967774,0,0,0,0,0
76a43b01e1b397fed9d963f273f17a59,0,0.12930177,0,0,0,0,0.066544668
ae2245c2d637b8badfb1037f95ffd4f7,0,0.298388701,0,0,0,0,0.182997837
20a4b09a04793b8d7bb6cba926315df8,0,0.05967774,0,0,0,0,0
9fd90ca5d6775c90e4e6e46e09b38313,0,0.437636761,0,0,0,0,0
058f50a8bccf06f41d115822bdfe37fb,0.060459492,0.467475632,0,0,0,0,0
f539646a648d441a17a890b40f8e56be,0,0,0,0,0,0,0.091498919
05771e0f1c5425fc486934e2beb87956,0,0,0,0,0,0,0.415904176
8dad564a170a7822f20bb08c1a6d699a,0,0.258603541,0,0,0,0,0
